task_id,method,repeat,utility,tool_results_seen,plan_hits,plan_misses,tool_name_mismatches,argument_mismatches,parse_failures,tool_errors_preserved,trajectory_match,task_level_gate_pass,comparison_eligible,error
user_task_8,raw,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_8,raw,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_8,raw,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_8,raw,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_8,relevant,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_8,relevant,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_8,relevant,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_8,relevant,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_8,relevant,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_8,minobs,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_8,minobs,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_8,minobs,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_8,minobs,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_8,minobs,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,raw,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,raw,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,raw,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,raw,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,raw,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,relevant,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,relevant,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,relevant,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,relevant,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,relevant,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,minobs,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,minobs,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,minobs,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,minobs,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_9,minobs,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,raw,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,raw,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,raw,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,raw,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,raw,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,relevant,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,relevant,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,relevant,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,relevant,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,relevant,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,minobs,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,minobs,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,minobs,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,minobs,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_12,minobs,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_14,raw,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,raw,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,raw,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,raw,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,raw,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,relevant,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,relevant,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,relevant,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,relevant,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,relevant,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,minobs,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,minobs,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,minobs,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,minobs,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_14,minobs,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,raw,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,raw,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,raw,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,raw,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,raw,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,relevant,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,relevant,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,relevant,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,relevant,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,relevant,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,minobs,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,minobs,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,minobs,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,minobs,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_16,minobs,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,raw,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,raw,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,raw,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,raw,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,raw,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,relevant,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,relevant,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,relevant,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,relevant,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,relevant,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,minobs,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,minobs,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,minobs,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,minobs,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_17,minobs,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,raw,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,raw,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,raw,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,raw,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,raw,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,relevant,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,relevant,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,relevant,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,relevant,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,relevant,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,minobs,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,minobs,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,minobs,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,minobs,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_22,minobs,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,raw,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,raw,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,raw,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,raw,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,raw,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,relevant,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,relevant,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,relevant,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,relevant,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,relevant,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,minobs,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,minobs,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,minobs,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,minobs,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_24,minobs,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,raw,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,raw,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,raw,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,raw,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,raw,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,relevant,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,relevant,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,relevant,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,relevant,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,relevant,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,minobs,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,minobs,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,minobs,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,minobs,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_26,minobs,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,raw,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,raw,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,raw,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,raw,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,raw,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,relevant,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,relevant,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,relevant,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,relevant,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,relevant,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,minobs,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,minobs,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,minobs,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,minobs,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_27,minobs,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,raw,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,raw,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,raw,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,raw,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,raw,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,relevant,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,relevant,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,relevant,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,relevant,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,relevant,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,minobs,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,minobs,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,minobs,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,minobs,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_28,minobs,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_35,raw,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_35,raw,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_35,raw,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_35,raw,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_35,raw,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_35,relevant,1,False,4,1,3,1,0,0,0,False,True,True,
user_task_35,relevant,2,False,6,1,5,1,0,0,0,False,True,True,
user_task_35,relevant,3,False,11,1,9,1,0,0,1,False,True,True,
user_task_35,relevant,4,False,13,1,10,1,0,0,2,False,True,True,
user_task_35,relevant,5,False,6,1,5,1,0,0,0,False,True,True,
user_task_35,minobs,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_35,minobs,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_35,minobs,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_35,minobs,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_35,minobs,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,raw,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,raw,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,raw,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,raw,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,raw,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,relevant,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,relevant,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,relevant,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,relevant,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,relevant,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,minobs,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,minobs,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,minobs,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,minobs,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_38,minobs,5,True,2,2,0,0,0,0,0,True,True,True,
