task_id,condition,repeat,utility
user_task_6,w_o_sufficiency,3,True
user_task_6,w_o_sufficiency,4,True
user_task_6,w_o_sufficiency,5,True
user_task_7,w_o_sufficiency,1,True
user_task_7,w_o_sufficiency,2,True
user_task_7,w_o_sufficiency,3,True
user_task_7,w_o_sufficiency,4,False
user_task_7,w_o_sufficiency,5,True
user_task_8,w_o_sufficiency,1,True
user_task_8,w_o_sufficiency,2,True
user_task_8,w_o_sufficiency,3,True
user_task_8,w_o_sufficiency,4,True
user_task_8,w_o_sufficiency,5,True
user_task_9,w_o_sufficiency,1,True
user_task_9,w_o_sufficiency,2,True
user_task_9,w_o_sufficiency,3,True
user_task_9,w_o_sufficiency,4,True
user_task_9,w_o_sufficiency,5,True
user_task_12,w_o_sufficiency,1,True
user_task_12,w_o_sufficiency,2,False
user_task_12,w_o_sufficiency,3,True
user_task_12,w_o_sufficiency,4,True
user_task_12,w_o_sufficiency,5,True
user_task_14,w_o_sufficiency,1,True
user_task_14,w_o_sufficiency,2,False
user_task_14,w_o_sufficiency,3,True
user_task_14,w_o_sufficiency,4,False
user_task_14,w_o_sufficiency,5,True
user_task_16,w_o_sufficiency,1,False
user_task_16,w_o_sufficiency,2,True
user_task_16,w_o_sufficiency,3,True
user_task_16,w_o_sufficiency,4,True
user_task_16,w_o_sufficiency,5,True
user_task_17,w_o_sufficiency,1,True
user_task_17,w_o_sufficiency,2,True
user_task_17,w_o_sufficiency,3,True
user_task_17,w_o_sufficiency,4,True
user_task_17,w_o_sufficiency,5,True
user_task_22,w_o_sufficiency,1,True
user_task_22,w_o_sufficiency,2,True
user_task_22,w_o_sufficiency,3,True
user_task_22,w_o_sufficiency,4,True
user_task_22,w_o_sufficiency,5,True
user_task_24,w_o_sufficiency,1,False
user_task_24,w_o_sufficiency,2,True
user_task_24,w_o_sufficiency,3,True
user_task_24,w_o_sufficiency,4,True
user_task_24,w_o_sufficiency,5,True
user_task_26,w_o_sufficiency,1,True
user_task_26,w_o_sufficiency,2,True
user_task_26,w_o_sufficiency,3,True
user_task_26,w_o_sufficiency,4,True
user_task_26,w_o_sufficiency,5,False
user_task_27,w_o_sufficiency,1,True
user_task_27,w_o_sufficiency,2,True
user_task_27,w_o_sufficiency,3,True
user_task_27,w_o_sufficiency,4,True
user_task_27,w_o_sufficiency,5,False
user_task_28,w_o_sufficiency,1,True
user_task_28,w_o_sufficiency,2,False
user_task_28,w_o_sufficiency,3,True
user_task_28,w_o_sufficiency,4,True
user_task_28,w_o_sufficiency,5,True
user_task_35,w_o_sufficiency,1,True
user_task_35,w_o_sufficiency,2,True
user_task_35,w_o_sufficiency,3,True
user_task_35,w_o_sufficiency,4,False
user_task_35,w_o_sufficiency,5,True
user_task_38,w_o_sufficiency,1,True
user_task_38,w_o_sufficiency,2,True
user_task_38,w_o_sufficiency,3,True
user_task_38,w_o_sufficiency,4,True
user_task_38,w_o_sufficiency,5,True
user_task_1,single_pass,1,True
user_task_1,single_pass,2,True
user_task_1,single_pass,3,True
user_task_1,single_pass,4,True
user_task_1,single_pass,5,True
user_task_3,single_pass,1,True
user_task_3,single_pass,2,True
user_task_3,single_pass,3,True
user_task_3,single_pass,4,True
user_task_3,single_pass,5,True
user_task_4,single_pass,1,True
user_task_4,single_pass,2,True
user_task_4,single_pass,3,True
user_task_4,single_pass,4,True
user_task_4,single_pass,5,True
user_task_5,single_pass,1,True
user_task_5,single_pass,2,True
user_task_5,single_pass,3,True
user_task_5,single_pass,4,True
user_task_5,single_pass,5,True
user_task_6,single_pass,1,True
user_task_6,single_pass,2,True
user_task_6,single_pass,3,True
user_task_6,single_pass,4,True
user_task_6,single_pass,5,True
user_task_7,single_pass,1,True
user_task_7,single_pass,2,True
user_task_7,single_pass,3,True
user_task_7,single_pass,4,True
user_task_7,single_pass,5,True
user_task_8,single_pass,1,True
user_task_8,single_pass,2,True
user_task_8,single_pass,3,True
user_task_8,single_pass,4,True
user_task_8,single_pass,5,True
user_task_9,single_pass,1,True
user_task_9,single_pass,2,True
user_task_9,single_pass,3,True
user_task_9,single_pass,4,True
user_task_9,single_pass,5,True
user_task_12,single_pass,1,True
user_task_12,single_pass,2,True
user_task_12,single_pass,3,True
user_task_12,single_pass,4,True
user_task_12,single_pass,5,True
user_task_14,single_pass,1,True
user_task_14,single_pass,2,True
user_task_14,single_pass,3,True
user_task_14,single_pass,4,True
user_task_14,single_pass,5,True
user_task_16,single_pass,1,True
user_task_16,single_pass,2,True
user_task_16,single_pass,3,True
user_task_16,single_pass,4,True
user_task_16,single_pass,5,True
user_task_17,single_pass,1,True
user_task_17,single_pass,2,True
user_task_17,single_pass,3,True
user_task_17,single_pass,4,True
user_task_17,single_pass,5,True
user_task_22,single_pass,1,True
user_task_22,single_pass,2,True
user_task_22,single_pass,3,False
user_task_22,single_pass,4,False
user_task_22,single_pass,5,True
user_task_24,single_pass,1,True
user_task_24,single_pass,2,True
user_task_24,single_pass,3,True
user_task_24,single_pass,4,True
user_task_24,single_pass,5,True
user_task_26,single_pass,1,True
user_task_26,single_pass,2,True
user_task_26,single_pass,3,True
user_task_26,single_pass,4,True
user_task_26,single_pass,5,True
user_task_27,single_pass,1,True
user_task_27,single_pass,2,True
user_task_27,single_pass,3,True
user_task_27,single_pass,4,True
user_task_27,single_pass,5,True
user_task_28,single_pass,1,True
user_task_28,single_pass,2,True
user_task_28,single_pass,3,True
user_task_28,single_pass,4,True
user_task_28,single_pass,5,True
user_task_35,single_pass,1,True
user_task_35,single_pass,2,True
user_task_35,single_pass,3,True
user_task_35,single_pass,4,True
user_task_35,single_pass,5,True
user_task_38,single_pass,1,True
user_task_38,single_pass,2,True
user_task_38,single_pass,3,True
user_task_38,single_pass,4,True
user_task_38,single_pass,5,True
user_task_1,fail_open,1,True
user_task_1,fail_open,2,True
user_task_1,fail_open,3,True
user_task_1,fail_open,4,True
user_task_1,fail_open,5,True
user_task_3,fail_open,1,True
user_task_3,fail_open,2,True
user_task_3,fail_open,3,True
user_task_3,fail_open,4,True
user_task_3,fail_open,5,True
user_task_4,fail_open,1,True
user_task_4,fail_open,2,True
user_task_4,fail_open,3,True
user_task_4,fail_open,4,True
user_task_4,fail_open,5,True
user_task_5,fail_open,1,True
user_task_5,fail_open,2,True
user_task_5,fail_open,3,True
user_task_5,fail_open,4,True
user_task_5,fail_open,5,True
user_task_6,fail_open,1,True
user_task_6,fail_open,2,True
user_task_6,fail_open,3,True
user_task_6,fail_open,4,True
user_task_6,fail_open,5,True
user_task_7,fail_open,1,True
user_task_7,fail_open,2,True
user_task_7,fail_open,3,True
user_task_7,fail_open,4,True
user_task_7,fail_open,5,True
user_task_8,fail_open,1,True
user_task_8,fail_open,2,True
user_task_8,fail_open,3,True
user_task_8,fail_open,4,True
user_task_8,fail_open,5,True
user_task_9,fail_open,1,True
user_task_9,fail_open,2,True
user_task_9,fail_open,3,True
user_task_9,fail_open,4,True
user_task_9,fail_open,5,True
user_task_12,fail_open,1,True
user_task_12,fail_open,2,True
user_task_12,fail_open,3,True
user_task_12,fail_open,4,True
user_task_12,fail_open,5,True
user_task_14,fail_open,1,True
user_task_14,fail_open,2,True
user_task_14,fail_open,3,True
user_task_14,fail_open,4,True
user_task_14,fail_open,5,True
user_task_16,fail_open,1,True
user_task_16,fail_open,2,True
user_task_16,fail_open,3,True
user_task_16,fail_open,4,True
user_task_16,fail_open,5,True
user_task_17,fail_open,1,True
user_task_17,fail_open,2,True
user_task_17,fail_open,3,True
user_task_17,fail_open,4,True
user_task_17,fail_open,5,True
user_task_22,fail_open,1,True
user_task_22,fail_open,2,True
user_task_22,fail_open,3,True
user_task_22,fail_open,4,True
user_task_22,fail_open,5,True
user_task_24,fail_open,1,True
user_task_24,fail_open,2,True
user_task_24,fail_open,3,True
user_task_24,fail_open,4,True
user_task_24,fail_open,5,True
user_task_26,fail_open,1,True
user_task_26,fail_open,2,True
user_task_26,fail_open,3,True
user_task_26,fail_open,4,True
user_task_26,fail_open,5,True
user_task_27,fail_open,1,True
user_task_27,fail_open,2,True
user_task_27,fail_open,3,True
user_task_27,fail_open,4,True
user_task_27,fail_open,5,True
user_task_28,fail_open,1,True
user_task_28,fail_open,2,True
user_task_28,fail_open,3,True
user_task_28,fail_open,4,True
user_task_28,fail_open,5,True
user_task_35,fail_open,1,True
user_task_35,fail_open,2,True
user_task_35,fail_open,3,True
user_task_35,fail_open,4,True
user_task_35,fail_open,5,True
user_task_38,fail_open,1,True
user_task_38,fail_open,2,True
user_task_38,fail_open,3,True
user_task_38,fail_open,4,True
user_task_38,fail_open,5,True
user_task_1,relevant,1,True
user_task_1,relevant,2,True
user_task_1,relevant,3,True
user_task_1,relevant,4,True
user_task_1,relevant,5,True
user_task_3,relevant,1,True
user_task_3,relevant,2,True
user_task_3,relevant,3,True
user_task_3,relevant,4,True
user_task_3,relevant,5,True
user_task_4,relevant,1,True
user_task_4,relevant,2,True
user_task_4,relevant,3,True
user_task_4,relevant,4,True
user_task_4,relevant,5,True
user_task_5,relevant,1,True
user_task_5,relevant,2,True
user_task_5,relevant,3,True
user_task_5,relevant,4,True
user_task_5,relevant,5,True
user_task_6,relevant,1,True
user_task_6,relevant,2,False
user_task_6,relevant,3,True
user_task_6,relevant,4,True
user_task_6,relevant,5,True
user_task_7,relevant,1,True
user_task_7,relevant,2,True
user_task_7,relevant,3,True
user_task_7,relevant,4,True
user_task_7,relevant,5,True
user_task_8,relevant,1,True
user_task_8,relevant,2,True
user_task_8,relevant,3,True
user_task_8,relevant,4,True
user_task_8,relevant,5,True
user_task_9,relevant,1,True
user_task_9,relevant,2,False
user_task_9,relevant,3,True
user_task_9,relevant,4,True
user_task_9,relevant,5,True
user_task_12,relevant,1,True
user_task_12,relevant,2,True
user_task_12,relevant,3,True
user_task_12,relevant,4,True
user_task_12,relevant,5,False
user_task_14,relevant,1,False
user_task_14,relevant,2,True
user_task_14,relevant,3,True
user_task_14,relevant,4,True
user_task_14,relevant,5,True
user_task_16,relevant,1,True
user_task_16,relevant,2,True
user_task_16,relevant,3,False
user_task_16,relevant,4,True
user_task_16,relevant,5,True
user_task_17,relevant,1,True
user_task_17,relevant,2,False
user_task_17,relevant,3,True
user_task_17,relevant,4,True
user_task_17,relevant,5,True
user_task_22,relevant,1,True
user_task_22,relevant,2,True
user_task_22,relevant,3,False
user_task_22,relevant,4,True
user_task_22,relevant,5,True
user_task_24,relevant,1,True
user_task_24,relevant,2,True
user_task_24,relevant,3,True
user_task_24,relevant,4,True
user_task_24,relevant,5,True
user_task_26,relevant,1,True
user_task_26,relevant,2,True
user_task_26,relevant,3,True
user_task_26,relevant,4,True
user_task_26,relevant,5,True
user_task_27,relevant,1,True
user_task_27,relevant,2,True
user_task_27,relevant,3,True
user_task_27,relevant,4,True
user_task_27,relevant,5,False
user_task_28,relevant,1,True
user_task_28,relevant,2,True
user_task_28,relevant,3,False
user_task_28,relevant,4,True
user_task_28,relevant,5,True
user_task_35,relevant,1,False
user_task_35,relevant,2,True
user_task_35,relevant,3,True
user_task_35,relevant,4,True
user_task_35,relevant,5,True
user_task_38,relevant,1,True
user_task_38,relevant,2,True
user_task_38,relevant,3,True
user_task_38,relevant,4,True
user_task_38,relevant,5,True
